task,fold,reference,model,n,auc_ref,auc_model,auc_diff,delong_z,delong_p,mcnemar_b,mcnemar_c,mcnemar_n_discordant,mcnemar_p,delong_p_holm,delong_sig,mcnemar_p_holm,mcnemar_sig
you_foulbrood,2,lgca_net,coatnet,443,0.9100910793326523,0.9762406367041198,-0.06614955737146744,-4.852297900889298,1.2203912210271034e-06,3,47,50,3.708322537931963e-11,6.223995227238227e-05,1,2.2249935227591777e-09,1
you_foulbrood,0,lgca_net,conformer,297,0.991514598540146,0.9992244525547446,-0.007709854014598561,-2.528410088159284,0.011458043023535232,1,14,15,0.0009765625,0.492695850012015,0,0.0458984375,1
you_foulbrood,1,lgca_net,conformer,260,0.9844700021976412,0.9997802358801552,-0.01531023368251394,-1.5264503030264707,0.12689775816439058,1,7,8,0.0703125,1.0,0,1.0,0
you_foulbrood,2,lgca_net,conformer,443,0.9100910793326523,0.9834014300306434,-0.07331035069799108,-5.725884185578904,1.0289640212844117e-08,3,64,67,6.801200228001569e-16,5.762198519192706e-07,1,4.488792150481036e-14,1
you_foulbrood,0,lgca_net,crossvit,297,0.991514598540146,0.9950273722627737,-0.0035127737226277045,-1.1791388922475163,0.23834287407537091,3,10,13,0.09228515625,1.0,0,1.0,0
you_foulbrood,1,lgca_net,crossvit,260,0.9844700021976412,0.9749468903377042,0.009523111859937039,1.3595441339218137,0.17397422724630873,0,4,4,0.125,1.0,0,1.0,0
you_foulbrood,2,lgca_net,crossvit,443,0.9100910793326523,0.981145726932244,-0.07105464759959168,-5.712536800292031,1.1130433660381558e-08,3,62,65,2.4842324378160363e-15,6.121738513209857e-07,1,1.6147510845804236e-13,1
you_foulbrood,0,lgca_net,densenet121,297,0.991514598540146,0.9899635036496349,0.0015510948905110844,0.48386721458236703,0.6284801093552816,1,8,9,0.0390625,1.0,0,1.0,0
you_foulbrood,1,lgca_net,densenet121,260,0.9844700021976412,0.9998534905867701,-0.015383488389128841,-1.5342484993000771,0.12496853028029434,0,6,6,0.03125,1.0,0,1.0,0
you_foulbrood,2,lgca_net,densenet121,443,0.9100910793326523,0.9531409601634321,-0.04304988083077976,-2.5831372467702267,0.009790636622009378,3,60,63,9.048317650695026e-15,0.43078801136841266,0,5.790923296444817e-13,1
you_foulbrood,0,lgca_net,efficientnetv2,297,0.991514598540146,0.9920620437956204,-0.0005474452554743436,-0.1984377334331883,0.842702597380302,3,8,11,0.2265625,1.0,0,1.0,0
you_foulbrood,1,lgca_net,efficientnetv2,260,0.9844700021976412,0.9956047176031059,-0.011134715405464624,-1.4559318005111035,0.14541147365289128,2,4,6,0.6875,1.0,0,1.0,0
you_foulbrood,2,lgca_net,efficientnetv2,443,0.9100910793326523,0.9790709056860744,-0.06897982635342204,-5.6512326170311695,1.5930133738392178e-08,6,53,59,1.7539187463500028e-10,8.442970881347854e-07,1,1.0348120603465016e-08,1
you_foulbrood,0,lgca_net,lgca_net_cnn_only,297,0.991514598540146,0.9797445255474452,0.01177007299270083,1.7533136067795543,0.0795481911696131,20,9,29,0.06142834573984146,1.0,0,1.0,0
you_foulbrood,1,lgca_net,lgca_net_cnn_only,260,0.9844700021976412,0.961101750787488,0.023368251410153196,2.1224597271010044,0.033799151178166585,64,5,69,4.119230997967627e-14,1.0,0,2.5539232187399286e-12,1
you_foulbrood,2,lgca_net,lgca_net_cnn_only,443,0.9100910793326523,0.9282856656452162,-0.018194586312563876,-1.7540082028235089,0.07942910160552409,4,2,6,0.6875,1.0,0,1.0,0
you_foulbrood,0,lgca_net,lgca_net_no_cross_attn,297,0.991514598540146,0.9949361313868613,-0.003421532846715314,-1.3106922905330374,0.18996174437142632,6,10,16,0.454498291015625,1.0,0,1.0,0
you_foulbrood,1,lgca_net,lgca_net_no_cross_attn,260,0.9844700021976412,0.98534905867702,-0.0008790564793788036,-0.896085914169813,0.3702068794849218,0,4,4,0.125,1.0,0,1.0,0
you_foulbrood,2,lgca_net,lgca_net_no_cross_attn,443,0.9100910793326523,0.9396280217909431,-0.02953694245829075,-3.7940134340428218,0.00014823164858088846,3,2,5,1.0,0.007263350780463534,1,1.0,0
you_foulbrood,0,lgca_net,lsnet_t,297,0.991514598540146,0.9929288321167883,-0.0014142335766422764,-0.4987662548031506,0.6179440630424451,3,8,11,0.2265625,1.0,0,1.0,0
you_foulbrood,1,lgca_net,lsnet_t,260,0.9844700021976412,0.9983151417478574,-0.013845139550216157,-1.5399940703176,0.12356179882039582,1,5,6,0.21875,1.0,0,1.0,0
you_foulbrood,2,lgca_net,lsnet_t,443,0.9100910793326523,0.9626532175689478,-0.05256213823629552,-3.683654874284433,0.00022991348484522223,7,50,57,4.2367098440632126e-09,0.011035847272570667,1,2.414924611116031e-07,1
you_foulbrood,0,lgca_net,mambavision,297,0.991514598540146,0.9937043795620436,-0.0021897810218975966,-0.8767353196138133,0.3806304179086887,0,8,8,0.0078125,1.0,0,0.3515625,0
you_foulbrood,1,lgca_net,mambavision,260,0.9844700021976412,0.9976558493883233,-0.013185847190682054,-1.4421812350692091,0.149251252841133,2,6,8,0.2890625,1.0,0,1.0,0
you_foulbrood,2,lgca_net,mambavision,443,0.9100910793326523,0.9810818862785157,-0.07099080694586335,-5.134226395345411,2.8330690349286195e-07,3,60,63,9.048317650695026e-15,1.4731958981628821e-05,1,5.790923296444817e-13,1
you_foulbrood,0,lgca_net,nextvit_small,297,0.991514598540146,0.9906021897810219,0.0009124087591241281,0.2549235685074272,0.7987821324732427,7,9,16,0.803619384765625,1.0,0,1.0,0
you_foulbrood,1,lgca_net,nextvit_small,260,0.9844700021976412,0.9997802358801552,-0.01531023368251394,-1.5127631449825223,0.13033983352817366,4,8,12,0.3876953125,1.0,0,1.0,0
you_foulbrood,2,lgca_net,nextvit_small,443,0.9100910793326523,0.9651642832822608,-0.05507320394960846,-3.826309654451344,0.00013007864554390094,8,57,65,3.163243188436873e-10,0.006503932277195047,1,1.8346810492933862e-08,1
you_foulbrood,0,lgca_net,resnet50,297,0.991514598540146,0.9772810218978102,0.014233576642335821,1.3836492505949833,0.1664658800018931,1,8,9,0.0390625,1.0,0,1.0,0
you_foulbrood,1,lgca_net,resnet50,260,0.9844700021976412,0.9989744341073915,-0.01450443190975026,-1.452513708596973,0.14635882026283917,7,8,15,1.0,1.0,0,1.0,0
you_foulbrood,2,lgca_net,resnet50,443,0.9100910793326523,0.9811670071501534,-0.07107592781750105,-5.7032568320920305,1.1753967405758148e-08,7,61,68,7.387402755493211e-12,6.3471423991094e-07,1,4.5063156808508587e-10,1
